Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/transformer/layer.2/Add_1,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.2/output_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.3/attention/q_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.3/attention/q_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.3/attention/Reshape,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.3/attention/Transpose,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.3/attention/k_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.3/attention/k_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.3/attention/Reshape_1,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.3/attention/v_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.3/attention/v_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.3/attention/Reshape_2,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.3/attention/Transpose_1,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.3/attention/Div,Div,86016,0.01%,43008,0.01%,0,0.00%,1x12x14x64,1x12x14x64
/transformer/layer.3/attention/Transpose_2,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x64x14
/transformer/layer.3/attention/MatMul,MatMul,301056,0.03%,9408,0.00%,0,0.00%,1x12x14x64,1x12x14x14
/transformer/layer.3/attention/Reshape_3,Reshape,0,0.00%,46,0.00%,4,0.00%,1x14,1x1x1x14
/transformer/layer.3/attention/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x12x14x14,4
/transformer/layer.3/attention/Expand,Expand,0,0.00%,2352,0.00%,0,0.00%,1x1x1x14,1x12x14x14
/transformer/layer.3/attention/Cast,Cast,0,0.00%,2352,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.3/attention/Where,Where,0,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.3/attention/Softmax,Softmax,169344,0.01%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.3/attention/MatMul_1,MatMul,301056,0.03%,43008,0.01%,0,0.00%,1x12x14x14,1x12x14x64
/transformer/layer.3/attention/Transpose_3,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x12x14x64,1x14x12x64
/transformer/layer.3/attention/Reshape_4,Reshape,0,0.00%,43032,0.01%,3,0.00%,1x14x12x64,1x14x768
/transformer/layer.3/attention/out_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.3/attention/out_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.3/Add,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.3/sa_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.3/ffn/lin1/MatMul,MatMul,66060288,5.50%,9609216,1.74%,2359296,1.76%,1x14x768,1x14x3072
/transformer/layer.3/ffn/lin1/Add,Add,86016,0.01%,184320,0.03%,3072,0.00%,3072,1x14x3072
/transformer/layer.3/ffn/activation/Div,Div,344064,0.03%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.3/ffn/activation/Erf,Erf,0,0.00%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.3/ffn/activation/Add,Add,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.3/ffn/activation/Mul,Mul,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.3/ffn/activation/Mul_1,Mul,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.3/ffn/lin2/MatMul,MatMul,66060288,5.50%,9480192,1.72%,2359296,1.76%,1x14x3072,1x14x768
/transformer/layer.3/ffn/lin2/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.3/Add_1,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.3/output_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.4/attention/q_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.4/attention/q_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.4/attention/Reshape,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.4/attention/Transpose,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.4/attention/k_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.4/attention/k_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.4/attention/Reshape_1,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.4/attention/v_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.4/attention/v_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.4/attention/Reshape_2,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.4/attention/Transpose_1,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.4/attention/Div,Div,86016,0.01%,43008,0.01%,0,0.00%,1x12x14x64,1x12x14x64
/transformer/layer.4/attention/Transpose_2,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x64x14
/transformer/layer.4/attention/MatMul,MatMul,301056,0.03%,9408,0.00%,0,0.00%,1x12x14x64,1x12x14x14
/transformer/layer.4/attention/Reshape_3,Reshape,0,0.00%,46,0.00%,4,0.00%,1x14,1x1x1x14
/transformer/layer.4/attention/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x12x14x14,4
/transformer/layer.4/attention/Expand,Expand,0,0.00%,2352,0.00%,0,0.00%,1x1x1x14,1x12x14x14
/transformer/layer.4/attention/Cast,Cast,0,0.00%,2352,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.4/attention/Where,Where,0,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.4/attention/Softmax,Softmax,169344,0.01%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.4/attention/MatMul_1,MatMul,301056,0.03%,43008,0.01%,0,0.00%,1x12x14x14,1x12x14x64
/transformer/layer.4/attention/Transpose_3,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x12x14x64,1x14x12x64
/transformer/layer.4/attention/Reshape_4,Reshape,0,0.00%,43032,0.01%,3,0.00%,1x14x12x64,1x14x768
/transformer/layer.4/attention/out_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.4/attention/out_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.4/Add,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.4/sa_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.4/ffn/lin1/MatMul,MatMul,66060288,5.50%,9609216,1.74%,2359296,1.76%,1x14x768,1x14x3072
/transformer/layer.4/ffn/lin1/Add,Add,86016,0.01%,184320,0.03%,3072,0.00%,3072,1x14x3072
/transformer/layer.4/ffn/activation/Div,Div,344064,0.03%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.4/ffn/activation/Erf,Erf,0,0.00%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.4/ffn/activation/Add,Add,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.4/ffn/activation/Mul,Mul,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.4/ffn/activation/Mul_1,Mul,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.4/ffn/lin2/MatMul,MatMul,66060288,5.50%,9480192,1.72%,2359296,1.76%,1x14x3072,1x14x768
/transformer/layer.4/ffn/lin2/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.4/Add_1,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.4/output_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.5/attention/q_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.5/attention/q_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.5/attention/Reshape,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.5/attention/Transpose,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.5/attention/k_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.5/attention/k_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.5/attention/Reshape_1,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.5/attention/v_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.5/attention/v_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.5/attention/Reshape_2,Reshape,0,0.00%,43040,0.01%,4,0.00%,1x14x768,1x14x12x64
/transformer/layer.5/attention/Transpose_1,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x14x64
/transformer/layer.5/attention/Div,Div,86016,0.01%,43008,0.01%,0,0.00%,1x12x14x64,1x12x14x64
/transformer/layer.5/attention/Transpose_2,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x14x12x64,1x12x64x14
/transformer/layer.5/attention/MatMul,MatMul,301056,0.03%,9408,0.00%,0,0.00%,1x12x14x64,1x12x14x14
/transformer/layer.5/attention/Reshape_3,Reshape,0,0.00%,46,0.00%,4,0.00%,1x14,1x1x1x14
/transformer/layer.5/attention/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x12x14x14,4
/transformer/layer.5/attention/Expand,Expand,0,0.00%,2352,0.00%,0,0.00%,1x1x1x14,1x12x14x14
/transformer/layer.5/attention/Cast,Cast,0,0.00%,2352,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.5/attention/Where,Where,0,0.00%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.5/attention/Softmax,Softmax,169344,0.01%,9408,0.00%,0,0.00%,1x12x14x14,1x12x14x14
/transformer/layer.5/attention/MatMul_1,MatMul,301056,0.03%,43008,0.01%,0,0.00%,1x12x14x14,1x12x14x64
/transformer/layer.5/attention/Transpose_3,Transpose,0,0.00%,43008,0.01%,0,0.00%,1x12x14x64,1x14x12x64
/transformer/layer.5/attention/Reshape_4,Reshape,0,0.00%,43032,0.01%,3,0.00%,1x14x12x64,1x14x768
/transformer/layer.5/attention/out_lin/MatMul,MatMul,16515072,1.37%,2402304,0.44%,589824,0.44%,1x14x768,1x14x768
/transformer/layer.5/attention/out_lin/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.5/Add,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.5/sa_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
/transformer/layer.5/ffn/lin1/MatMul,MatMul,66060288,5.50%,9609216,1.74%,2359296,1.76%,1x14x768,1x14x3072
/transformer/layer.5/ffn/lin1/Add,Add,86016,0.01%,184320,0.03%,3072,0.00%,3072,1x14x3072
/transformer/layer.5/ffn/activation/Div,Div,344064,0.03%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.5/ffn/activation/Erf,Erf,0,0.00%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.5/ffn/activation/Add,Add,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.5/ffn/activation/Mul,Mul,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.5/ffn/activation/Mul_1,Mul,86016,0.01%,172032,0.03%,0,0.00%,1x14x3072,1x14x3072
/transformer/layer.5/ffn/lin2/MatMul,MatMul,66060288,5.50%,9480192,1.72%,2359296,1.76%,1x14x3072,1x14x768
/transformer/layer.5/ffn/lin2/Add,Add,21504,0.00%,46080,0.01%,768,0.00%,768,1x14x768
/transformer/layer.5/Add_1,Add,21504,0.00%,43008,0.01%,0,0.00%,1x14x768,1x14x768
/transformer/layer.5/output_layer_norm/LayerNormalization,LayerNormalization,151340,0.01%,49152,0.01%,1536,0.00%,1x14x768,1x14x768
Total,_,1201250904,100%,551152754,100%,134351730,100%,_,_
